name,url,description,evaluation_file
mcp-scan (Invariant Labs),https://github.com/invariantlabs-ai/mcp-scan,"Static and dynamic scanning of MCP connections for vulnerabilities like prompt injection, tool poisoning, toxic flows. Includes proxy mode for runtime monitoring and guardrailing.",mcp-scan-invariant.md
mcp-scanner (Cisco),https://github.com/cisco-ai-defense/mcp-scanner,"Scans MCP servers for potential threats using three engines: YARA rules, LLM-as-a-judge, and Cisco AI Defense API.",
mcpserver-audit (CSA),https://github.com/ModelContextProtocol-Security/mcpserver-audit,"Checks if MCP servers are safe before use. Supports publishing findings to audit-db and vulnerability-db. Part of Cloud Security Alliance MCP Security initiative.",
Enkrypt AI MCP Scan,https://www.enkryptai.com/mcp-scan,"Automated security scanning using agentic static analysis. Detects command injection, path traversal, prompt injection, code injection. Enterprise-focused with SOC 2/ISO 27001 alignment.",
MCPScan.ai,https://mcpscan.ai/,"Web-based MCP security scanner with LLM classifier for detecting tool poisoning attempts across MCP tool definitions.",
Proximity,https://www.helpnetsecurity.com/2025/10/29/proximity-open-source-mcp-security-scanner/,"Open-source scanner that identifies prompts, tools, and resources exposed by MCP servers. Uses NOVA rule engine to check for prompt injection and jailbreak attempts.",
MCP-Shield,https://github.com/riseandignite/mcp-shield,"Scans installed MCP servers for vulnerabilities like tool poisoning attacks, exfiltration channels, and cross-origin escalations.",
mcp-security-scanner (AWS),https://github.com/aws-samples/sample-mcp-security-scanner,"MCP server integrating Checkov, Semgrep, and Bandit for code security analysis. Enables AI coding assistants to automatically scan code snippets.",
mcp-security-scanner (sidhpurwala),https://github.com/sidhpurwala-huzaifa/mcp-security-scanner,"Python-based penetration testing tool for MCP servers. Supports HTTP, stdio, SSE transports. Runs checks for auth, transport, tools, prompts, resources.",
mcp-security-hub (FuzzingLabs),https://github.com/FuzzingLabs/mcp-security-hub,"Dockerized MCP servers for offensive security tools (Nmap, Ghidra, Nuclei, SQLMap, Hashcat). Enables AI assistants to perform security assessments.",
mcp-for-security (cyproxio),https://github.com/cyproxio/mcp-for-security,"Collection of MCP servers for security tools like SQLMap, FFUF, NMAP, Masscan. Integrates security/pentesting into AI workflows.",
mcp-vulnerability-scanner,https://github.com/RobertoDure/mcp-vulnerability-scanner,"MCP server for scanning IP addresses for vulnerabilities. Supports individual and bulk IP scanning.",
Lasso MCP Gateway,https://github.com/lasso-security/mcp-gateway,"Open-source security gateway for MCP. Triple-gate security pattern: AI layer (prompt filtering, PII detection), MCP layer (tool authorization, parameter validation), API layer (rate limiting, auth).",
MintMCP Gateway,https://www.mintmcp.com/mcp-gateway,"Enterprise MCP gateway with SOC2 Type II certification. One-click OAuth/SSO protection, real-time secret scanning, supports Claude/ChatGPT/Cursor.",
TrueFoundry MCP Gateway,https://www.truefoundry.com/mcp-gateway,"Centralized MCP server management with security and reliability features.",
Pangea AI Guard,https://pangea.cloud/blog/secure-mcp-servers-with-ai-guardrails/,"MCP proxy for AI security guardrails. Checks for malicious prompts, redacts sensitive info, audit logging, IP/domain reputation checks.",
Acuvity,https://acuvity.ai/,"Runtime security for MCP with Rego policy suite to defend against tool poisoning and covert instructions in tool descriptions.",
MCPVerified,https://mcpverified.com/security/tools,"Directory of MCP security tools with verification status.",
Teleport MCP Security,https://goteleport.com/,"Zero-trust infrastructure identity platform extended to MCP. Strict access control, least privilege, comprehensive audit trails.",
